"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Median income (dollars)",""
"        Estimate","45,951"
"        Margin of Error","±4,468"
"Madison County, Alabama",""
"    Number",""
"        Estimate","162,469"
"        Margin of Error","±1,068"
"    Percent Distribution",""
"        Estimate","162,469"
"        Margin of Error","±1,068"
"    Median income (dollars)",""
"        Estimate","83,528"
"        Margin of Error","±1,460"
"Marengo County, Alabama",""
"    Number",""
"        Estimate","7,615"
"        Margin of Error","±294"
"    Percent Distribution",""
"        Estimate","7,615"
"        Margin of Error","±294"
"    Median income (dollars)",""
"        Estimate","44,205"
"        Margin of Error","±5,009"
"Marion County, Alabama",""
"    Number",""
"        Estimate","10,874"
"        Margin of Error","±374"
"    Percent Distribution",""
"        Estimate","10,874"
"        Margin of Error","±374"
"    Median income (dollars)",""
"        Estimate","50,714"
"        Margin of Error","±4,617"
"Marshall County, Alabama",""
"    Number",""
"        Estimate","35,963"
"        Margin of Error","±451"
"    Percent Distribution",""
"        Estimate","35,963"
"        Margin of Error","±451"
"    Median income (dollars)",""
"        Estimate","60,946"
"        Margin of Error","±2,309"
"Mobile County, Alabama",""
"    Number",""
"        Estimate","160,507"
"        Margin of Error","±1,367"
"    Percent Distribution",""
"        Estimate","160,507"
"        Margin of Error","±1,367"
"    Median income (dollars)",""
"        Estimate","58,119"
"        Margin of Error","±1,304"
"Monroe County, Alabama",""
"    Number",""
"        Estimate","7,396"
"        Margin of Error","±287"
"    Percent Distribution",""
"        Estimate","7,396"
"        Margin of Error","±287"
"    Median income (dollars)",""
"        Estimate","40,225"
"        Margin of Error","±7,307"
"Montgomery County, Alabama",""
"    Number",""
"        Estimate","90,785"
"        Margin of Error","±985"
"    Percent Distribution",""
"        Estimate","90,785"
"        Margin of Error","±985"
"    Median income (dollars)",""
"        Estimate","58,153"
"        Margin of Error","±2,052"
"Morgan County, Alabama",""
"    Number",""
"        Estimate","48,752"
"        Margin of Error","±501"
"    Percent Distribution",""
"        Estimate","48,752"
"        Margin of Error","±501"
"    Median income (dollars)",""
"        Estimate","64,858"
"        Margin of Error","±2,399"
"Perry County, Alabama",""
"    Number",""
"        Estimate","3,195"
"        Margin of Error","±195"
"    Percent Distribution",""
"        Estimate","3,195"
"        Margin of Error","±195"
"    Median income (dollars)",""
"        Estimate","34,368"
"        Margin of Error","±4,794"
"Pickens County, Alabama",""
"    Number",""
"        Estimate","6,946"
"        Margin of Error","±228"
"    Percent Distribution",""
"        Estimate","6,946"
"        Margin of Error","±228"
"    Median income (dollars)",""
"        Estimate","47,014"
"        Margin of Error","±3,955"
"Pike County, Alabama",""
"    Number",""
"        Estimate","12,605"
"        Margin of Error","±376"
"    Percent Distribution",""
"        Estimate","12,605"
"        Margin of Error","±376"
"    Median income (dollars)",""
"        Estimate","47,961"
"        Margin of Error","±3,371"
"Randolph County, Alabama",""
"    Number",""
"        Estimate","9,127"
"        Margin of Error","±361"
"    Percent Distribution",""
"        Estimate","9,127"
"        Margin of Error","±361"
"    Median income (dollars)",""
"        Estimate","51,551"
"        Margin of Error","±7,179"
"Russell County, Alabama",""
"    Number",""
"        Estimate","23,784"
"        Margin of Error","±515"
"    Percent Distribution",""
"        Estimate","23,784"
"        Margin of Error","±515"
"    Median income (dollars)",""
"        Estimate","50,046"
"        Margin of Error","±3,409"
"St. Clair County, Alabama",""
"    Number",""
"        Estimate","34,477"
"        Margin of Error","±523"
"    Percent Distribution",""
"        Estimate","34,477"
"        Margin of Error","±523"
"    Median income (dollars)",""
"        Estimate","78,993"
"        Margin of Error","±3,859"
"Shelby County, Alabama",""
"    Number",""
"        Estimate","85,414"
"        Margin of Error","±684"
"    Percent Distribution",""
"        Estimate","85,414"
"        Margin of Error","±684"
"    Median income (dollars)",""
"        Estimate","93,543"
"        Margin of Error","±3,051"
"Sumter County, Alabama",""
"    Number",""
"        Estimate","4,765"
"        Margin of Error","±221"
"    Percent Distribution",""
"        Estimate","4,765"
"        Margin of Error","±221"
"    Median income (dollars)",""
"        Estimate","37,981"
"        Margin of Error","±5,607"
"Talladega County, Alabama",""
"    Number",""
"        Estimate","32,889"
"        Margin of Error","±523"
"    Percent Distribution",""
"        Estimate","32,889"
"        Margin of Error","±523"
"    Median income (dollars)",""
"        Estimate","56,249"
"        Margin of Error","±2,242"
"Tallapoosa County, Alabama",""
"    Number",""
"        Estimate","16,548"
"        Margin of Error","±421"
"    Percent Distribution",""
"        Estimate","16,548"
"        Margin of Error","±421"
"    Median income (dollars)",""
"        Estimate","57,185"
"        Margin of Error","±2,897"
"Tuscaloosa County, Alabama",""
"    Number",""
"        Estimate","87,289"
"        Margin of Error","±1,121"
"    Percent Distribution",""
"        Estimate","87,289"
"        Margin of Error","±1,121"
"    Median income (dollars)",""
"        Estimate","63,947"
"        Margin of Error","±2,475"
"Walker County, Alabama",""
"    Number",""
"        Estimate","24,843"
"        Margin of Error","±544"
"    Percent Distribution",""
"        Estimate","24,843"
"        Margin of Error","±544"
"    Median income (dollars)",""
"        Estimate","54,509"
"        Margin of Error","±4,141"
"Washington County, Alabama",""
"    Number",""
"        Estimate","5,678"
"        Margin of Error","±329"
"    Percent Distribution",""
"        Estimate","5,678"
"        Margin of Error","±329"
"    Median income (dollars)",""
"        Estimate","60,503"
"        Margin of Error","±6,667"
"Wilcox County, Alabama",""
"    Number",""
"        Estimate","3,693"
