"Label (Grouping)","Population 1 year and over"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","2.0%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Greene County, Alabama",""
"    Total",""
"        Estimate","7,565"
"        Margin of Error","±31"
"    Moved; within same county",""
"        Estimate","1.2%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","0.7%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.3"
"Hale County, Alabama",""
"    Total",""
"        Estimate","14,649"
"        Margin of Error","±85"
"    Moved; within same county",""
"        Estimate","2.2%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","4.5%"
"        Margin of Error","±2.1"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.3"
"Henry County, Alabama",""
"    Total",""
"        Estimate","17,335"
"        Margin of Error","±63"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","2.0%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Houston County, Alabama",""
"    Total",""
"        Estimate","106,576"
"        Margin of Error","±160"
"    Moved; within same county",""
"        Estimate","5.6%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Jackson County, Alabama",""
"    Total",""
"        Estimate","52,382"
"        Margin of Error","±157"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","1.4%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
